ID,target,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,OCCUPATION_TYPE,CNT_FAM_MEMBERS,AGE_YEARS,YEARS_EMPLOYED,ACCOUNT_LENGTH
5008804,1,M,Y,Y,0,427500.0,Working,Higher education,Married,Rented apartment,not_specified,2.0,33.0,12.0,15
5008805,1,M,Y,Y,0,427500.0,Working,Higher education,Married,Rented apartment,not_specified,2.0,33.0,12.0,14
5008806,1,M,Y,Y,0,112500.0,Working,NO GED,Married,House / apartment,Security staff,2.0,59.0,3.0,29
5008808,1,F,N,Y,0,270000.0,Commercial associate,NO GED,Single / not married,House / apartment,Sales staff,1.0,52.0,8.0,4
5008809,1,F,N,Y,0,270000.0,Commercial associate,NO GED,Single / not married,House / apartment,Sales staff,1.0,52.0,8.0,26
5008810,1,F,N,Y,0,270000.0,Commercial associate,NO GED,Single / not married,House / apartment,Sales staff,1.0,52.0,8.0,26
5008811,1,F,N,Y,0,270000.0,Commercial associate,NO GED,Single / not married,House / apartment,Sales staff,1.0,52.0,8.0,38
5008812,1,F,N,Y,0,283500.0,Pensioner,Higher education,Separated,House / apartment,not_specified,1.0,62.0,0.0,20
5008813,1,F,N,Y,0,283500.0,Pensioner,Higher education,Separated,House / apartment,not_specified,1.0,62.0,0.0,16
5008814,1,F,N,Y,0,283500.0,Pensioner,Higher education,Separated,House / apartment,not_specified,1.0,62.0,0.0,17
5008815,0,M,Y,Y,0,270000.0,Working,Higher education,Married,House / apartment,Accountants,2.0,46.0,2.0,5
5008819,1,M,Y,Y,0,135000.0,Commercial associate,NO GED,Married,House / apartment,Laborers,2.0,49.0,3.0,17
5008820,1,M,Y,Y,0,135000.0,Commercial associate,NO GED,Married,House / apartment,Laborers,2.0,49.0,3.0,16
5008821,1,M,Y,Y,0,135000.0,Commercial associate,NO GED,Married,House / apartment,Laborers,2.0,49.0,3.0,8
5008822,1,M,Y,Y,0,135000.0,Commercial associate,NO GED,Married,House / apartment,Laborers,2.0,49.0,3.0,22
5008823,1,M,Y,Y,0,135000.0,Commercial associate,NO GED,Married,House / apartment,Laborers,2.0,49.0,3.0,7
5008824,0,M,Y,Y,0,135000.0,Commercial associate,NO GED,Married,House / apartment,Laborers,2.0,49.0,3.0,3
5008825,1,F,Y,N,0,130500.0,Working,NO GED,Married,House / apartment,Accountants,2.0,29.0,3.0,25
5008826,1,F,Y,N,0,130500.0,Working,NO GED,Married,House / apartment,Accountants,2.0,29.0,3.0,30
5008827,1,M,Y,Y,0,180000.0,Pensioner,Higher education,Married,House / apartment,not_specified,2.0,51.0,0.0,37
5008830,1,F,N,Y,0,157500.0,Working,NO GED,Married,House / apartment,Laborers,2.0,27.0,4.0,31
5008831,1,F,N,Y,0,157500.0,Working,NO GED,Married,House / apartment,Laborers,2.0,27.0,4.0,19
5008832,1,F,N,Y,0,157500.0,Working,NO GED,Married,House / apartment,Laborers,2.0,27.0,4.0,34
5008834,1,F,N,Y,1,112500.0,Working,NO GED,Single / not married,House / apartment,not_specified,2.0,30.0,4.0,44
5008835,1,F,N,Y,1,112500.0,Working,NO GED,Single / not married,House / apartment,not_specified,2.0,30.0,4.0,44
5008836,1,M,Y,Y,3,270000.0,Working,NO GED,Married,House / apartment,Laborers,5.0,35.0,3.0,24
5008837,1,M,Y,Y,3,270000.0,Working,NO GED,Married,House / apartment,Laborers,5.0,35.0,3.0,18
5008838,1,M,N,Y,1,405000.0,Commercial associate,Higher education,Married,House / apartment,Managers,3.0,32.0,6.0,39
5008839,1,M,N,Y,1,405000.0,Commercial associate,Higher education,Married,House / apartment,Managers,3.0,32.0,6.0,13
5008840,1,M,N,Y,1,405000.0,Commercial associate,Higher education,Married,House / apartment,Managers,3.0,32.0,6.0,55
5008841,1,M,N,Y,1,405000.0,Commercial associate,Higher education,Married,House / apartment,Managers,3.0,32.0,6.0,4
5008842,0,M,N,Y,1,405000.0,Commercial associate,Higher education,Married,House / apartment,Managers,3.0,32.0,6.0,8
5008843,1,M,N,Y,1,405000.0,Commercial associate,Higher education,Married,House / apartment,Managers,3.0,32.0,6.0,29
5008844,1,M,Y,Y,0,112500.0,Commercial associate,NO GED,Married,House / apartment,Drivers,2.0,56.0,12.0,43
5008846,0,M,Y,Y,0,112500.0,Commercial associate,NO GED,Married,House / apartment,Drivers,2.0,56.0,12.0,11
5008847,1,M,Y,Y,0,112500.0,Commercial associate,NO GED,Married,House / apartment,Drivers,2.0,56.0,12.0,46
5008849,1,M,Y,Y,0,112500.0,Commercial associate,NO GED,Married,House / apartment,Drivers,2.0,56.0,12.0,51
5008850,0,M,Y,Y,0,112500.0,Commercial associate,NO GED,Married,House / apartment,Drivers,2.0,56.0,12.0,25
5008851,0,M,Y,Y,0,112500.0,Commercial associate,NO GED,Married,House / apartment,Drivers,2.0,56.0,12.0,11
5008852,0,M,Y,Y,0,112500.0,Commercial associate,NO GED,Married,House / apartment,Drivers,2.0,56.0,12.0,0
5008853,1,M,Y,Y,0,112500.0,Commercial associate,NO GED,Married,House / apartment,Drivers,2.0,56.0,12.0,39
5008854,0,F,Y,Y,2,135000.0,Working,NO GED,Married,House / apartment,Laborers,4.0,43.0,9.0,39
5008855,1,F,Y,Y,2,135000.0,Working,NO GED,Married,House / apartment,Laborers,4.0,43.0,9.0,28
5008856,0,F,Y,Y,2,135000.0,Working,NO GED,Married,House / apartment,Laborers,4.0,43.0,9.0,3
5008857,1,F,Y,Y,2,135000.0,Working,NO GED,Married,House / apartment,Laborers,4.0,43.0,9.0,27
